ID,Archetype,1789,1792,1796,1800,1804,1808,1812,1816,1820,1824,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024
012,"Class-War Leftist",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,King,Monroe,Jackson,Jackson,Jackson,Van Buren,Harrison,Polk,Cass,Pierce,Fremont,Breckinridge,Lincoln,Seymour,Greeley,Tilden,Hancock,Blaine,Cleveland,Weaver,Bryan,Bryan,Roosevelt,Bryan,Roosevelt,Wilson,Cox,La Follette,Smith,Roosevelt,Roosevelt,Willkie,Roosevelt,Truman,Eisenhower,Stevenson,Nixon,Johnson,Wallace,Nixon,Carter,Reagan,Mondale,Dukakis,Perot,Dole,Nader,Bush,McCain,Obama,Trump,Biden,Harris
013,"Radical Leveler",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Harrison,Polk,Van Buren,Pierce,Fremont,Lincoln,Lincoln,Grant,Greeley,Tilden,Hancock,Blaine,Cleveland,Weaver,Bryan,Bryan,Roosevelt,Bryan,Roosevelt,Wilson,Cox,La Follette,Smith,Roosevelt,Roosevelt,Willkie,Roosevelt,Truman,Eisenhower,Stevenson,Kennedy,Goldwater,Wallace,Nixon,Ford,Reagan,Reagan,Dukakis,Perot,Clinton,Nader,Bush,McCain,Romney,Trump,Biden,Harris
014,"Activist Progressive",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Van Buren,Polk,Cass,Pierce,Fremont,Lincoln,Lincoln,Grant,Greeley,Tilden,Hancock,Blaine,Cleveland,Weaver,Bryan,Bryan,Roosevelt,Bryan,Wilson,Wilson,Cox,Davis,Smith,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Eisenhower,Stevenson,Kennedy,Johnson,Wallace,Nixon,Carter,Carter,Mondale,Dukakis,Clinton,Clinton,Gore,Bush,Obama,Obama,Trump,Biden,Harris
015,"Moral Firebrand",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Harrison,Polk,Van Buren,Pierce,Fremont,Lincoln,Lincoln,Grant,Greeley,Tilden,Hancock,Blaine,Cleveland,Weaver,Bryan,Bryan,Roosevelt,Bryan,Roosevelt,Wilson,Cox,La Follette,Smith,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Stevenson,Stevenson,Kennedy,Johnson,Nixon,Nixon,Carter,Reagan,Reagan,Bush,Bush,Clinton,Nader,Kerry,Obama,Romney,Trump,Biden,Harris
016,"Insurgent Equalizer",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Harrison,Polk,Cass,Pierce,Fremont,Breckinridge,Lincoln,Grant,Greeley,Tilden,Hancock,Blaine,Cleveland,Weaver,Bryan,Bryan,Roosevelt,Bryan,Roosevelt,Wilson,Cox,La Follette,Smith,Roosevelt,Roosevelt,Willkie,Roosevelt,Truman,Eisenhower,Stevenson,Kennedy,Johnson,Wallace,Nixon,Ford,Reagan,Mondale,Bush,Bush,Clinton,Nader,Bush,McCain,Romney,Trump,Biden,Harris
017,"Uncompromising Redistributionist",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,King,Monroe,Jackson,Jackson,Jackson,Van Buren,Van Buren,Polk,Cass,Pierce,Fremont,Lincoln,Lincoln,Grant,Grant,Tilden,Hancock,Blaine,Cleveland,Weaver,Bryan,Bryan,Roosevelt,Bryan,Wilson,Wilson,Cox,La Follette,Smith,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Eisenhower,Stevenson,Kennedy,Johnson,Wallace,Nixon,Carter,Carter,Mondale,Dukakis,Perot,Clinton,Nader,Bush,McCain,Obama,Trump,Biden,Harris
019,"Anarchist Mutualist",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Harrison,Polk,Van Buren,Pierce,Fremont,Lincoln,Lincoln,Grant,Greeley,Tilden,Hancock,Blaine,Cleveland,Weaver,Bryan,Bryan,Roosevelt,Bryan,Roosevelt,Wilson,Cox,Davis,Smith,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Stevenson,Stevenson,Kennedy,Johnson,Nixon,McGovern,Carter,Reagan,Reagan,Dukakis,Clinton,Clinton,Nader,Kerry,Obama,Obama,Johnson,Biden,Harris
020,"Grassroots Autonomist",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Harrison,Polk,Van Buren,Pierce,Fremont,Lincoln,Lincoln,Grant,Greeley,Tilden,Hancock,Blaine,Cleveland,Weaver,Bryan,Bryan,Roosevelt,Bryan,Roosevelt,Wilson,Cox,Davis,Smith,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Stevenson,Stevenson,Kennedy,Johnson,Nixon,McGovern,Carter,Reagan,Reagan,Dukakis,Clinton,Clinton,Nader,Kerry,Obama,Obama,Johnson,Biden,Harris
021,"Principled Cosmopolitan",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,ABSTAIN,ABSTAIN,Van Buren,ABSTAIN,Polk,Van Buren,ABSTAIN,ABSTAIN,Lincoln,Lincoln,Grant,Greeley,ABSTAIN,Garfield,Cleveland,Cleveland,Cleveland,McKinley,ABSTAIN,Roosevelt,Bryan,Wilson,Wilson,Cox,Davis,Smith,Roosevelt,ABSTAIN,Roosevelt,Roosevelt,Truman,Stevenson,Stevenson,Kennedy,Johnson,Humphrey,McGovern,Carter,Carter,Reagan,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Johnson,Biden,Harris
022,"Pluralist Universalist",Washington,Washington,Jefferson,Jefferson,Jefferson,Madison,Madison,Monroe,Monroe,Jackson,Jackson,Jackson,Van Buren,Harrison,Clay,Van Buren,Pierce,Fremont,Lincoln,Lincoln,Grant,Grant,Tilden,Hancock,Blaine,Cleveland,Cleveland,Bryan,Bryan,Roosevelt,Bryan,Wilson,Wilson,Cox,Davis,Smith,Roosevelt,Roosevelt,Roosevelt,Roosevelt,Truman,Stevenson,Stevenson,Kennedy,Johnson,Humphrey,McGovern,Carter,Carter,Reagan,Dukakis,Clinton,Clinton,Gore,Kerry,Obama,Obama,Johnson,Biden,Harris
