token_count,source,compressed,signature,label,raw_lexicon,tokens
3,lexicon,no,AES:Pastoral|CU:low|PRO:high,Assimilationist Procedural Pastoral,Assimilationist Procedural Pastoral,Assimilationist + Procedural + Pastoral
3,lexicon,no,AES:Pastoral|CU:low|PRO:low,Assimilationist Consequentialist Pastoral,Assimilationist Consequentialist Pastoral,Assimilationist + Consequentialist + Pastoral
3,lexicon,no,AES:Pastoral|CU:low|PRO:mid,Pragmatic Assimilationist Pastoral,Pragmatic Assimilationist Pastoral,Pragmatic + Assimilationist + Pastoral
3,lexicon,no,AES:Pastoral|CU:low|TRB:high,Assimilationist Tribal Pastoral,Assimilationist Tribal Pastoral,Assimilationist + Tribal + Pastoral
3,lexicon,no,AES:Pastoral|CU:low|TRB:low,Assimilationist Inclusivist Pastoral,Assimilationist Inclusivist Pastoral,Assimilationist + Inclusivist + Pastoral
3,lexicon,no,AES:Pastoral|CU:low|TRB:mid,Civic Assimilationist Pastoral,Civic Assimilationist Pastoral,Civic + Assimilationist + Pastoral
3,lexicon,no,AES:Pastoral|CU:low|ZS:high,Assimilationist Combative Pastoral,Assimilationist Combative Pastoral,Assimilationist + Combative + Pastoral
3,lexicon,no,AES:Pastoral|CU:low|ZS:low,Assimilationist Positive-Sum Pastoral,Assimilationist Positive-Sum Pastoral,Assimilationist + Positive-Sum + Pastoral
3,lexicon,no,AES:Pastoral|CU:low|ZS:mid,Realist Assimilationist Pastoral,Realist Assimilationist Pastoral,Realist + Assimilationist + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|ENG:high,Civic-Pluralist All-In Pastoral,Civic-Pluralist All-In Pastoral,Civic-Pluralist + All-In + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|ENG:low,Civic-Pluralist Tuned-Out Pastoral,Civic-Pluralist Tuned-Out Pastoral,Civic-Pluralist + Tuned-Out + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|EPS:Autonomous,Civic-Pluralist Autonomous Pastoral,Civic-Pluralist Autonomous Pastoral,Civic-Pluralist + Autonomous + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|EPS:Empiricist,Civic-Pluralist Empiricist Pastoral,Civic-Pluralist Empiricist Pastoral,Civic-Pluralist + Empiricist + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|EPS:Institutionalist,Civic-Pluralist Institutionalist Pastoral,Civic-Pluralist Institutionalist Pastoral,Civic-Pluralist + Institutionalist + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|EPS:Intuitionist,Civic-Pluralist Intuitionist Pastoral,Civic-Pluralist Intuitionist Pastoral,Civic-Pluralist + Intuitionist + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|EPS:Nihilist,Civic-Pluralist Nihilist Pastoral,Civic-Pluralist Nihilist Pastoral,Civic-Pluralist + Nihilist + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|EPS:Traditionalist,Civic-Pluralist Traditionalist Pastoral,Civic-Pluralist Traditionalist Pastoral,Civic-Pluralist + Traditionalist + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|MAT:high,Civic-Pluralist Free-Marketeer Pastoral,Civic-Pluralist Free-Marketeer Pastoral,Civic-Pluralist + Free-Marketeer + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|MAT:low,Civic-Pluralist Redistributionist Pastoral,Civic-Pluralist Redistributionist Pastoral,Civic-Pluralist + Redistributionist + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|MOR:high,Civic-Pluralist Universalist Pastoral,Civic-Pluralist Universalist Pastoral,Civic-Pluralist + Universalist + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|MOR:low,Civic-Pluralist Particularist Pastoral,Civic-Pluralist Particularist Pastoral,Civic-Pluralist + Particularist + Pastoral
3,lexicon,no,AES:Pastoral|CU:mid|MORAL_CIRCLE:class,Civic-Pluralist Pastoral Class-Conscious,Civic-Pluralist Pastoral Class-Conscious,Civic-Pluralist + Pastoral + Class-Conscious
3,lexicon,no,AES:Pastoral|CU:mid|MORAL_CIRCLE:ethnic_racial,Civic-Pluralist Pastoral Ethnic-Communitarian,Civic-Pluralist Pastoral Ethnic-Communitarian,Civic-Pluralist + Pastoral + Ethnic-Communitarian
3,lexicon,no,AES:Pastoral|CU:mid|MORAL_CIRCLE:gender,Civic-Pluralist Pastoral Gender-Identitarian,Civic-Pluralist Pastoral Gender-Identitarian,Civic-Pluralist + Pastoral + Gender-Identitarian
